Benchmark,Optimization,Avg Time (s),Std Dev (s),Speedup,P95 Time (s),P99 Time (s),Dynamic Instructions
is-decreasing,--lvn_--dce_--loops,0.002447,0.000164,0.97x,N/A,N/A,N/A
graycode,baseline,0.002312,0.000136,baseline,N/A,N/A,N/A
graycode,--lvn,0.002314,0.000132,1.00x,N/A,N/A,N/A
graycode,--dce,0.002325,0.000129,0.99x,N/A,N/A,N/A
graycode,--loops,0.002374,0.000136,0.97x,N/A,N/A,N/A
graycode,--lvn_--dce,0.002340,0.000132,0.99x,N/A,N/A,N/A
graycode,--lvn_--dce_--loops,0.002359,0.000133,0.98x,N/A,N/A,N/A
grad_desc,baseline,0.002369,0.000150,baseline,N/A,N/A,N/A
grad_desc,--lvn,0.002380,0.000244,1.00x,N/A,N/A,N/A
grad_desc,--dce,0.002342,0.000149,1.01x,N/A,N/A,N/A
grad_desc,--loops,0.002334,0.000157,1.02x,N/A,N/A,N/A
grad_desc,--lvn_--dce,0.002472,0.000862,0.96x,N/A,N/A,N/A
grad_desc,--lvn_--dce_--loops,0.002378,0.000159,1.00x,N/A,N/A,N/A
check-primes,baseline,0.002428,0.000145,baseline,N/A,N/A,N/A
check-primes,--lvn,0.002396,0.000150,1.01x,N/A,N/A,N/A
check-primes,--dce,0.002458,0.000150,0.99x,N/A,N/A,N/A
check-primes,--loops,0.002342,0.000141,1.04x,N/A,N/A,N/A
check-primes,--lvn_--dce,0.002482,0.000229,0.98x,N/A,N/A,N/A
check-primes,--lvn_--dce_--loops,0.002415,0.000145,1.01x,N/A,N/A,N/A
sum-sq-diff,baseline,0.002417,0.000151,baseline,N/A,N/A,N/A
sum-sq-diff,--lvn,0.002409,0.000167,1.00x,N/A,N/A,N/A
sum-sq-diff,--dce,0.002409,0.000148,1.00x,N/A,N/A,N/A
sum-sq-diff,--loops,0.002451,0.000160,0.99x,N/A,N/A,N/A
sum-sq-diff,--lvn_--dce,0.002454,0.000157,0.98x,N/A,N/A,N/A
sum-sq-diff,--lvn_--dce_--loops,0.002413,0.000167,1.00x,N/A,N/A,N/A
fitsinside,baseline,0.002393,0.000149,baseline,N/A,N/A,N/A
fitsinside,--lvn,0.002363,0.000143,1.01x,N/A,N/A,N/A
fitsinside,--dce,0.002396,0.000148,1.00x,N/A,N/A,N/A
fitsinside,--loops,0.002324,0.000153,1.03x,N/A,N/A,N/A
fitsinside,--lvn_--dce,0.002397,0.000150,1.00x,N/A,N/A,N/A
fitsinside,--lvn_--dce_--loops,0.002461,0.000882,0.97x,N/A,N/A,N/A
hamming,baseline,0.002401,0.000154,baseline,N/A,N/A,N/A
hamming,--lvn,0.002398,0.000156,1.00x,N/A,N/A,N/A
hamming,--dce,0.002385,0.000148,1.01x,N/A,N/A,N/A
hamming,--loops,0.002383,0.000147,1.01x,N/A,N/A,N/A
hamming,--lvn_--dce,0.002408,0.000145,1.00x,N/A,N/A,N/A
hamming,--lvn_--dce_--loops,0.002371,0.000160,1.01x,N/A,N/A,N/A
fact,baseline,0.002384,0.000153,baseline,N/A,N/A,N/A
fact,--lvn,0.002411,0.000159,0.99x,N/A,N/A,N/A
fact,--dce,0.002404,0.000163,0.99x,N/A,N/A,N/A
fact,--loops,0.002415,0.000155,0.99x,N/A,N/A,N/A
fact,--lvn_--dce,0.002356,0.000149,1.01x,N/A,N/A,N/A
fact,--lvn_--dce_--loops,0.002331,0.000160,1.02x,N/A,N/A,N/A
loopfact,baseline,0.002357,0.000144,baseline,N/A,N/A,N/A
loopfact,--lvn,0.002425,0.000142,0.97x,N/A,N/A,N/A
loopfact,--dce,0.002374,0.000143,0.99x,N/A,N/A,N/A
loopfact,--loops,0.002406,0.000130,0.98x,N/A,N/A,N/A
loopfact,--lvn_--dce,0.002341,0.000150,1.01x,N/A,N/A,N/A
loopfact,--lvn_--dce_--loops,0.002505,0.001154,0.94x,N/A,N/A,N/A
recfact,baseline,0.002149,0.000158,baseline,N/A,N/A,N/A
recfact,--lvn,0.002474,0.000287,0.87x,N/A,N/A,N/A
recfact,--dce,0.002479,0.000282,0.87x,N/A,N/A,N/A
recfact,--loops,0.002442,0.000157,0.88x,N/A,N/A,N/A
recfact,--lvn_--dce,0.002412,0.000952,0.89x,N/A,N/A,N/A
recfact,--lvn_--dce_--loops,0.002433,0.000184,0.88x,N/A,N/A,N/A
geometric-sum,baseline,0.002355,0.000160,baseline,N/A,N/A,N/A
geometric-sum,--lvn,0.002404,0.000167,0.98x,N/A,N/A,N/A
geometric-sum,--dce,0.002351,0.000169,1.00x,N/A,N/A,N/A
geometric-sum,--loops,0.002369,0.000174,0.99x,N/A,N/A,N/A
geometric-sum,--lvn_--dce,0.002417,0.000166,0.97x,N/A,N/A,N/A
geometric-sum,--lvn_--dce_--loops,0.002349,0.000163,1.00x,N/A,N/A,N/A
sum-to-ten,baseline,0.002304,0.000148,baseline,N/A,N/A,N/A
sum-to-ten,--lvn,0.002308,0.000128,1.00x,N/A,N/A,N/A
sum-to-ten,--dce,0.002321,0.000136,0.99x,N/A,N/A,N/A
sum-to-ten,--loops,0.002349,0.000140,0.98x,N/A,N/A,N/A
sum-to-ten,--lvn_--dce,0.002311,0.000130,1.00x,N/A,N/A,N/A
sum-to-ten,--lvn_--dce_--loops,0.002328,0.000133,0.99x,N/A,N/A,N/A
legendre,baseline,0.002383,0.000146,baseline,N/A,N/A,N/A
legendre,--lvn,0.002401,0.000193,0.99x,N/A,N/A,N/A
legendre,--dce,0.002443,0.000152,0.98x,N/A,N/A,N/A
legendre,--loops,0.002399,0.000156,0.99x,N/A,N/A,N/A
legendre,--lvn_--dce,0.002486,0.000929,0.96x,N/A,N/A,N/A
legendre,--lvn_--dce_--loops,0.002384,0.000152,1.00x,N/A,N/A,N/A
